courseKey,division,courseCode,courseTitle,capacity,beginTime,endTime,days,faculty
1,UG,ACC2301,Accounting Principles I,30,10:00 AM,10:50 AM,MWF,
2,UG,ACC2301,Accounting Principles I,30,11:00 AM,11:50 AM,MWF,"JABBOURI, Imad"
3,UG,ACC2301,Accounting Principles I,30,11:00 AM,11:50 AM,MWF,
4,UG,ACC2301,Accounting Principles I,30,2:40 PM,3:30 PM,MWF,
5,UG,ACC2301,Accounting Principles I,30,11:00 AM,12:20 PM,TR,"HAMMOUD, Rhizlane"
6,UG,ACC2302,Accounting Principles II,30,12:30 PM,1:50 PM,TR,"TAHRI, Anas"
7,UG,ACC2302,Accounting Principles II,30,2:00 PM,3:20 PM,TR,"TAHRI, Anas"
8,UG,ACC2302,Accounting Principles II,30,2:40 PM,3:30 PM,MWF,"SATT, Harit"
9,UG,ACC3201,Moroccan Accounting and Taxation,25,1:40 PM,3:20 PM,M,"MARGHICH, Abdellatif"
10,UG,ACC3201,Moroccan Accounting and Taxation,25,3:30 PM,5:10 PM,M,"MARGHICH, Abdellatif"
11,UG,ACC3201,Moroccan Accounting and Taxation,25,5:20 PM,7:00 PM,M,"MARGHICH, Abdellatif"
12,UG,ACC4305,International Accounting,25,3:30 PM,4:50 PM,TR,"BROWN, Zaynab"
13,UG,ALS1001,Academic Listening & Speaking I,18,8:00 AM,9:40 AM,TR,
14,UG,ALS1001,Academic Listening & Speaking I,18,9:00 AM,9:50 AM,F,
15,UG,ALS1001,Academic Listening & Speaking I,18,8:00 AM,9:40 AM,TR,
16,UG,ALS1001,Academic Listening & Speaking I,18,9:00 AM,9:50 AM,F,
17,UG,ALS1001,Academic Listening and Speaking II,18,3:00 PM,4:40 PM,TR,
18,UG,ALS1001,Academic Listening and Speaking II,18,4:00 PM,4:50 PM,F,
19,UG,ALS1002,Academic Listening & Speaking II,18,8:00 AM,9:40 AM,TR,
20,UG,ALS1002,Academic Listening & Speaking II,18,9:00 AM,9:50 AM,F,
21,UG,ALS1002,Academic Listening & Speaking II,18,3:00 PM,4:40 PM,TR,
22,UG,ALS1002,Academic Listening & Speaking II,18,4:00 PM,4:50 PM,F,
23,UG,ALS1002,Academic Listening & Speaking II,18,3:00 PM,4:40 PM,TR,
24,UG,ALS1002,Academic Listening & Speaking II,18,4:00 PM,4:50 PM,F,
25,UG,ALS1002,Academic Listening & Speaking II,18,3:00 PM,4:40 PM,TR,
26,UG,ALS1002,Academic Listening & Speaking II,18,4:00 PM,4:50 PM,F,
27,UG,ARA1300,Moroccan Arabic I,20,9:30 AM,10:50 AM,TR,"CHEKAYRI, Abdellah"
28,UG,ARA1311,Beginning Arabic I,20,11:00 AM,12:20 PM,TR,"CHEKAYRI, Abdellah"
29,UG,ARA2311,Intermediate Arabic I,20,11:00 AM,12:20 PM,TR,"SAHLI, Meriem"
30,UG,ARA3311,Advanced Arabic I,20,2:00 PM,3:20 PM,TR,"SAHLI, Meriem"
31,UG,ARB1304,Basic Standard Arabic Skills II,20,5:10 PM,6:30 PM,MW,"BOUSSOUAB, Brahim"
32,UG,ARB1309,Arabic For Genaral Purposes,20,12:30 PM,1:50 PM,TR,"BOUSSOUAB, Brahim"
33,UG,ARB1310,Arabic for Academic Purposes,20,5:00 PM,6:20 PM,TR,"SAHLI, Meriem"
34,UG,ARB1320,Arabic for Communication Purposes,20,5:00 PM,6:20 PM,TR,"CHEKAYRI, Abdellah"
35,UG,ARD1001,Academic Reading I,18,8:00 AM,8:50 AM,F,
36,UG,ARD1001,Academic Reading I,18,8:00 AM,9:40 AM,MW,
37,UG,ARD1001,Academic Reading I,18,8:00 AM,8:50 AM,F,
38,UG,ARD1001,Academic Reading I,18,8:00 AM,9:40 AM,MW,
39,UG,ARD1001,Academic Reading I,18,3:00 PM,3:50 PM,F,
40,UG,ARD1001,Academic Reading I,18,3:00 PM,4:40 PM,MW,
41,UG,ARD1001,Academic Reading I,18,3:00 PM,3:50 PM,F,
42,UG,ARD1001,Academic Reading I,18,3:00 PM,4:40 PM,MW,
43,UG,ARD1002,Academic Reading II,18,8:00 AM,9:40 AM,MW,
44,UG,ARD1002,Academic Reading II,18,8:00 AM,8:50 AM,F,
45,UG,ARD1002,Academic Reading II,18,8:00 AM,8:50 AM,F,
46,UG,ARD1002,Academic Reading II,18,8:00 AM,9:40 AM,MW,
47,UG,ARD1002,Academic Reading II,18,8:00 AM,8:50 AM,F,
48,UG,ARD1002,Academic Reading II,18,3:00 PM,4:40 PM,MW,
49,UG,ARD1002,Academic Reading II,18,3:00 PM,3:50 PM,F,
50,UG,ARD1002,Academic Reading II,18,3:00 PM,4:40 PM,MW,
51,UG,AWG1001,Academic Writing and Grammar I,14,10:00 AM,11:40 AM,MTWRF,
52,UG,AWG1001,Academic Writing and Grammar I,14,10:00 AM,11:40 AM,MTWRF,
53,UG,AWG1001,Academic Writing and Grammar I,14,1:00 PM,2:40 PM,MTWRF,
54,UG,AWG1001,Academic Writing and Grammar I,14,1:00 PM,2:40 PM,MTWRF,
55,UG,AWG1001,Academic Writing and Grammar I,14,1:00 PM,4:40 PM,MTWRF,
56,UG,AWG1002,Academic Writing and Grammar II,14,10:00 AM,11:40 AM,MTWRF,
57,UG,AWG1002,Academic Writing and Grammar II,14,10:00 AM,11:40 AM,MTWRF,
58,UG,AWG1002,Academic Writing and Grammar II,14,10:00 AM,11:40 AM,MTWRF,
59,UG,AWG1002,Academic Writing and Grammar II,14,10:00 AM,11:40 AM,MTWRF,
60,UG,AWG1002,Academic Writing and Grammar II,14,1:00 PM,2:40 PM,MTWRF,
61,UG,AWG1002,Academic Writing and Grammar II,14,1:00 PM,2:40 PM,MTWRF,
62,UG,AWG1002,Academic Writing and Grammar II,14,1:00 PM,2:40 PM,MTWRF,
63,UG,AWG1002,Academic Writing and Grammar II,14,1:00 PM,2:40 PM,MTWRF,
