sessionNaturalKey,sessionKey,requestedDateKey,requestedTimeKey,startDateKey,startTimeKey,endDateKey,endTimeKey,tutorKey,studentKey,courseKey,type,status,didAttend,cancellationReason,topic,professor,location,duration
5d77bca7c8e3f3173cada8d2,1,9/10/19,15:09,9/12/19,9:00,9/12/19,11:00,77325,80972,MTH1305,private,attended,true,,Exponential and logarithm functions ,,,60
5d77f897c8e3f3173cada98e,2,9/10/19,19:25,9/11/19,8:00,9/11/19,10:00,75983,78314,CSC2302,private,attended,true,,structures,,,60
5d7808bbc8e3f3173cada9ed,3,9/10/19,20:34,9/11/19,14:10,9/11/19,16:10,76319,79155,CSC2302,private,attended,true,,Structures and Files,,,60
5d781d8dc8e3f3173cadaa4e,4,9/10/19,22:02,9/13/19,15:00,9/13/19,17:00,76319,76453,MTH1311,private,canceled,false,,Limits and their properties,,,60
5d781f9cc8e3f3173cadaa55,5,9/10/19,22:11,9/12/19,13:00,9/12/19,15:00,77325,73666,GBU2301,private,attended,true,,Reminder of Business stats for Quanti,,,60
5d78d14ac8e3f3173cadab2c,6,9/11/19,10:49,9/12/19,17:00,9/12/19,19:00,74283,76453,MTH1311,private,attended,true,,Limits and their properties,,,60
5d78fceec8e3f3173cadab73,7,9/11/19,13:55,9/11/19,17:00,9/11/19,19:00,78253,83091,MTRSSE,private group,attended,true,,Focused Campus Tour,,,60
5d7901d5c8e3f3173cadab80,8,9/11/19,14:16,9/13/19,13:00,9/13/19,15:00,77739,78187,ECO2301,private group,attended,true,,Chapter 1,,,60
5d7901f7c8e3f3173cadab82,9,9/11/19,14:17,9/12/19,9:00,9/12/19,11:00,70773,76327,ACC2301,private,canceled,false,,first chapter,,,60
5d790cb9c8e3f3173cadaba5,10,9/11/19,15:03,9/13/19,16:00,9/13/19,19:00,77206,81966,MTRSHSS,private group,canceled,false,,academic and career guidance,,,120
5d790eb3c8e3f3173cadaba8,11,9/11/19,15:11,9/13/19,13:00,9/13/19,15:00,76319,81437,MTH1311,private,attended,true,,Calculus formulating,,,60
5d7916d8c8e3f3173cadabc0,12,9/11/19,15:46,9/13/19,10:00,9/13/19,12:00,76319,79471,CSC2302,private,attended,true,,structures ,,,60
5d791aa9c8e3f3173cadabcd,13,9/11/19,16:02,9/12/19,9:00,9/12/19,11:00,73968,83112,CSC1401,private,attended,true,,steps toward building a software: Algorithm and Raptol ,,,60
5d791e05c8e3f3173cadabe9,14,9/11/19,16:17,9/12/19,17:00,9/12/19,19:00,78356,81371,MTH1311,private,attended,true,,Chapter 1,,,60
5d7920c2c8e3f3173cadabee,15,9/11/19,16:28,9/13/19,17:00,9/13/19,19:00,77073,83112,MTH1311,private,attended,true,,Differentiation ,,,60
5d792767c8e3f3173cadac13,16,9/11/19,16:57,9/13/19,14:00,9/13/19,16:00,76557,77950,ECO2302,private,attended,true,,Intro to eco growth,,,60
5d7927e2c8e3f3173cadac14,17,9/11/19,16:59,9/13/19,10:00,9/13/19,12:00,77539,77950,ACC2302,private,attended,true,,Statement of cash flows,,,60
5d7929bac8e3f3173cadac18,18,9/11/19,17:07,9/14/19,13:00,9/14/19,15:00,76319,81040,MTH1311,private,attended,true,,Limits and their properties,,,60
5d792bd4c8e3f3173cadac21,19,9/11/19,17:16,9/14/19,10:00,9/14/19,12:00,77073,81377,MTH1311,private,attended,true,,Limits and their properties,,,60
5d79349cc8e3f3173cadac40,20,9/11/19,17:53,9/11/19,17:30,9/11/19,19:30,73793,81232,MTRSSE,private group,attended,true,,Campus tour,,,60
5d793edcc8e3f3173cadac67,21,9/11/19,18:37,9/16/19,16:00,9/16/19,18:00,75664,79284,ECO2302,private group,canceled,false,,chap 5 and 6 (GDP),,,60
5d7949c6c8e3f3173cadac72,22,9/11/19,19:23,9/14/19,14:00,9/14/19,16:00,67058,79945,MTH1311,private,attended,true,,Limits and Their Properties,,,60
5d794a48c8e3f3173cadac73,23,9/11/19,19:26,9/14/19,15:00,9/14/19,17:00,76319,79945,CSC1401,private,attended,true,,C language ,,,60
5d794b68c8e3f3173cadac74,24,9/11/19,19:30,9/15/19,14:00,9/15/19,16:00,77739,79945,FAS0210,private,canceled,false,,How to FAS ?,,,60
5d794ca0c8e3f3173cadac78,25,9/11/19,19:36,9/13/19,14:00,9/13/19,16:00,75664,79284,ECO2302,private,attended,true,,chap 5 and 6 (GDP),,,60
5d79518ac8e3f3173cadac79,26,9/11/19,19:56,9/12/19,13:00,9/12/19,15:00,67058,76492,PHY1401,private,attended,true,,"Vectors ,average speed..",,,60
5d797665de1d4c0f50e54307,27,9/11/19,22:34,9/13/19,14:00,9/13/19,16:00,75983,76592,CSC2303,private,attended,true,,CSC cards,,,60
5d79778dde1d4c0f50e54308,28,9/11/19,22:39,9/13/19,16:00,9/13/19,18:00,77325,80000,CSC1300,private,attended,true,,The system unit and file types,,,60
5d7a0585de1d4c0f50e5431a,29,9/12/19,8:44,9/13/19,8:00,9/13/19,10:00,70773,82200,MTH1311,private,attended,true,,The intermediate value theorem ,,,60
5d7a0728de1d4c0f50e5431b,30,9/12/19,8:51,9/14/19,8:00,9/14/19,10:00,70773,82200,MTH1311,private,attended,true,,The derivative and the tangent line problem ,,,60
5d7a08e7de1d4c0f50e5431c,31,9/12/19,8:59,9/15/19,10:00,9/15/19,12:00,78356,82200,MTH1311,private,attended,true,,Differentiation rules and rates of change,,,60
5d7a1787de1d4c0f50e5433a,32,9/12/19,10:01,9/16/19,17:00,9/16/19,19:00,76557,79874,MTH1305,private group,attended,true,,logarithme,,,60
5d7a1a34de1d4c0f50e5433b,33,9/12/19,10:13,9/12/19,15:00,9/12/19,17:00,78253,81617,MTRSSE,private group,attended,true,,Focused Campus Tour + Misc,,,60
5d7a1c7ade1d4c0f50e54345,34,9/12/19,10:22,9/12/19,10:00,9/12/19,12:00,70134,81555,MTRSSE,private,attended,true,,Detailed campus tour,,,60
5d7a1e13de1d4c0f50e5434d,35,9/12/19,10:29,9/13/19,13:00,9/13/19,15:00,77325,75269,CSC2302,private,canceled,false,,Hierarchies and void structure definition,,,60
5d7a20f4de1d4c0f50e5435c,36,9/12/19,10:41,9/14/19,11:00,9/14/19,13:00,70134,80904,MTRSSE,private group,attended,true,,Detailed campus tour,,,60
5d7a21e1de1d4c0f50e54360,37,9/12/19,10:45,9/14/19,12:00,9/14/19,14:00,70134,81017,MTRSSE,private group,canceled,false,,Camp tour,,,60
5d7a26e2de1d4c0f50e54371,38,9/12/19,11:07,9/13/19,15:00,9/13/19,17:00,77325,75269,CSC2302,private,attended,true,,Hiearchies and void structure defintions,,,60
5d7a29d5de1d4c0f50e54374,39,9/12/19,11:19,9/12/19,10:00,9/12/19,12:00,76055,79471,MTH1312,private,attended,true,,Calculus II: Chapter 6,,,60
5d7a2aa6de1d4c0f50e54378,40,9/12/19,11:23,9/14/19,16:00,9/14/19,18:00,76319,82654,MTH1311,private,canceled,false,,chapter 1,,,60
5d7a2de8de1d4c0f50e5437e,41,9/12/19,11:37,9/12/19,11:30,9/12/19,13:30,76465,72784,ACC2301,private,attended,true,,Chapter 1,,,60
5d7a3043de1d4c0f50e5437f,42,9/12/19,11:47,9/13/19,16:00,9/13/19,18:00,77539,77700,ECO2302,private,attended,true,,chapter 5 and 6 ,,,60
5d7a3cb4de1d4c0f50e543a5,43,9/12/19,12:40,9/12/19,12:30,9/12/19,14:30,76465,72784,ACC2301,private,attended,true,,Chapter1,,,60
5d7a40aade1d4c0f50e543ac,44,9/12/19,12:57,9/11/19,18:30,9/11/19,20:00,73793,81232,MTRSSE,private group,attended,true,,Campus tour,,,30
5d7a4844de1d4c0f50e543b3,45,9/12/19,13:29,9/12/19,17:30,9/12/19,19:30,75245,80040,MTRSBA,private,attended,true,,first meeting,,,60
5d7a4f0ede1d4c0f50e543b6,46,9/12/19,13:58,9/15/19,10:00,9/15/19,12:00,70134,79993,MTRSSE,private group,attended,true,,Campus tour,,,60
5d7a5e32de1d4c0f50e543d4,47,9/12/19,15:03,9/12/19,15:00,9/12/19,17:00,73793,81628,MTRSSE,private group,attended,true,,Campus tour,,,60
5d7a6e9cde1d4c0f50e5440b,48,9/12/19,16:13,9/13/19,11:00,9/13/19,13:00,76420,83185,MTRSSE,private group,canceled,false,,computer programming,,,60
5d7a7810de1d4c0f50e54425,49,9/12/19,16:53,9/15/19,14:00,9/15/19,16:00,67058,76671,EGR2301,private,attended,true,,The first two chapters ,,,60
5d7a86a7de1d4c0f50e54434,50,9/12/19,17:55,9/13/19,13:30,9/13/19,15:30,75245,76026,MTRSBA,private,attended,true,,Exchange,,,60
5d7a959ede1d4c0f50e54463,51,9/12/19,18:59,9/15/19,14:00,9/15/19,16:00,77539,77691,ECO2302,private,attended,true,,Macro,,,60
